UNIX_TIMESTAMP(timeStamp),message,batteryVoltage,batteryCurrent,temperature,mode,epsBootCounter,unauthorizedCommands
1677162126,Une Ecole pour la Vie,0,0,0,0,0,0
946707647,Une Ecole pour la Vie,7947,-2,-320,3,201,0
946690917,Une Ecole pour la Vie,7965,33,200,3,201,0
946690737,Une Ecole pour la Vie,7962,36,0,3,201,0
946737690,Une Ecole pour la Vie,7904,-83,320,3,201,0
946770431,Une Ecole pour la Vie,7947,8,-240,3,201,0
946776188,Une Ecole pour la Vie,7956,17,-80,3,201,0
946781944,Une Ecole pour la Vie,7974,58,-240,3,201,0
946792018,Une Ecole pour la Vie,7960,54,-1040,3,201,0
946828537,Une Ecole pour la Vie,7906,-85,320,3,201,0
946861098,Une Ecole pour la Vie,7971,53,40,3,201,0
946861458,Une Ecole pour la Vie,7972,58,-40,3,201,0
946877109,Une Ecole pour la Vie,7960,69,-1080,3,201,0
946880707,Une Ecole pour la Vie,7875,-84,-720,3,201,0
946992962,Une Ecole pour la Vie,0,0,360,3,201,0
946998718,Une Ecole pour la Vie,0,0,760,3,201,0
947004295,Une Ecole pour la Vie,0,0,360,3,201,0
947005734,Une Ecole pour la Vie,0,0,-960,3,201,0
947005554,Une Ecole pour la Vie,0,0,-760,3,201,0
947005375,Une Ecole pour la Vie,0,0,-520,3,201,0
947031639,Une Ecole pour la Vie,0,0,40,3,201,0
947037036,Une Ecole pour la Vie,0,0,-8997,254,51459,0
947047470,Une Ecole pour la Vie,0,0,-880,3,201,0
947047650,Une Ecole pour la Vie,0,0,-760,3,201,0
947015809,Une Ecole pour la Vie,0,0,320,3,201,0
947015629,Une Ecole pour la Vie,0,0,480,3,65535,0
947051248,Une Ecole pour la Vie,0,0,-880,3,201,0
947053227,Une Ecole pour la Vie,0,0,-960,3,201,0
947053047,Une Ecole pour la Vie,0,0,-1000,3,201,0
947089386,Une Ecole pour la Vie,0,0,480,3,201,0
947090825,Une Ecole pour la Vie,0,0,-760,3,201,0
947090645,Une Ecole pour la Vie,0,0,-440,3,201,0
947092624,Une Ecole pour la Vie,0,0,-1200,3,201,0
947138497,Une Ecole pour la Vie,0,0,-760,3,201,0
947138317,Une Ecole pour la Vie,0,0,-1080,3,201,0
947223588,Une Ecole pour la Vie,0,0,-1200,3,201,0
947223408,Une Ecole pour la Vie,0,0,-1320,3,201,0
947248593,Une Ecole pour la Vie,0,0,360,3,201,0
947248414,Une Ecole pour la Vie,0,0,600,3,201,0
947248773,Une Ecole pour la Vie,0,0,280,3,201,0
947259747,Une Ecole pour la Vie,0,0,400,3,201,0
947259567,Une Ecole pour la Vie,0,0,440,3,201,0
947281514,Une Ecole pour la Vie,0,0,-160,3,201,0
947281694,Une Ecole pour la Vie,0,0,80,3,201,0
947287271,Une Ecole pour la Vie,0,0,280,3,201,0
947287091,Une Ecole pour la Vie,0,0,-200,3,201,0
947308859,Une Ecole pour la Vie,0,0,-840,3,201,0
947308679,Une Ecole pour la Vie,0,0,-1000,3,201,0
947333684,Une Ecole pour la Vie,0,0,360,3,201,0
947333504,Une Ecole pour la Vie,0,0,320,3,201,0
947333864,Une Ecole pour la Vie,0,0,280,3,201,0
947372182,Une Ecole pour la Vie,0,0,-80,3,201,0
947372002,Une Ecole pour la Vie,0,0,-400,3,201,0
947372542,Une Ecole pour la Vie,0,0,-40,3,201,0
947372362,Une Ecole pour la Vie,0,0,-200,3,201,0
947378118,Une Ecole pour la Vie,0,0,0,3,201,0
947377938,Une Ecole pour la Vie,0,0,-160,3,201,0
947377759,Une Ecole pour la Vie,0,0,-280,3,201,0
947377579,Une Ecole pour la Vie,0,0,-520,3,201,0
947383335,Une Ecole pour la Vie,0,0,-160,3,201,0
947399526,Une Ecole pour la Vie,0,0,-1040,3,201,0
947399346,Une Ecole pour la Vie,0,0,-920,3,201,0
947283133,Une Ecole pour la Vie,0,0,-240,3,201,0
947282954,Une Ecole pour la Vie,0,0,-40,3,201,0
947282774,Une Ecole pour la Vie,0,0,120,3,201,0
947282594,Une Ecole pour la Vie,0,0,280,3,201,0
947241578,Une Ecole pour la Vie,0,0,-280,3,201,0
947241398,Une Ecole pour la Vie,-1,-1,-1,3,201,0
947468606,Une Ecole pour la Vie,0,0,-40,3,201,0
947468786,Une Ecole pour la Vie,-1,-1,-1,3,201,0
1682375736,Une Ecole pour la Vie,0,0,120,3,201,0
1682375915,Une Ecole pour la Vie,0,0,0,3,201,0
1682499144,Une Ecole pour la Vie,0,0,-40,3,201,0
1682499503,Une Ecole pour la Vie,0,0,80,3,201,0
1682738938,Une Ecole pour la Vie,0,0,440,3,201,0
1682936103,Une Ecole pour la Vie,0,0,-40,3,201,0
1683122655,Une Ecole pour la Vie,0,0,-720,3,201,0
1683122475,Une Ecole pour la Vie,0,0,-880,3,201,0
1683122295,Une Ecole pour la Vie,0,0,-1080,3,201,0
1683152878,Une Ecole pour la Vie,0,0,240,3,201,0
1683153057,Une Ecole pour la Vie,0,0,600,3,201,0
1683163132,Une Ecole pour la Vie,-1,-1,-1,3,201,0
1683162952,Une Ecole pour la Vie,0,0,-520,3,201,0
1683180581,Une Ecole pour la Vie,0,0,160,3,65535,0
1683186338,Une Ecole pour la Vie,0,0,120,3,201,0
1683207566,Une Ecole pour la Vie,0,0,-1040,3,201,0
1683207386,Une Ecole pour la Vie,0,0,-1400,3,201,0
1683207746,Une Ecole pour la Vie,0,0,-1240,3,201,0
1683219979,Une Ecole pour la Vie,0,0,-40,3,201,0
1683225555,Une Ecole pour la Vie,0,0,-560,3,201,0
1683225375,Une Ecole pour la Vie,0,0,-680,3,201,0
1683225735,Une Ecole pour la Vie,0,0,-240,3,201,0
1683232751,Une Ecole pour la Vie,0,0,440,3,201,0
1683232571,Une Ecole pour la Vie,0,0,600,3,201,0
1683238148,Une Ecole pour la Vie,0,0,480,3,201,0
1683248222,Une Ecole pour la Vie,0,0,-560,3,201,0
1683248042,Une Ecole pour la Vie,0,0,-720,3,201,0
1683271429,Une Ecole pour la Vie,0,0,-80,3,201,0
1683292656,Une Ecole pour la Vie,0,0,-1120,3,201,0
1683292836,Une Ecole pour la Vie,0,0,-880,3,201,0
1683310646,Une Ecole pour la Vie,0,0,-440,3,201,0
