timeStamp,type,description
1679850877,NORMAL, Function END ID: 26 MISSION_MODE_LEOP 
1679850876,NORMAL, Function END ID: 9 OBC_START 
1679850876,NORMAL, Function END ID: 1 EPS_START 
1679850868,NORMAL, Function START ID: 3 RADIO_START 
1679850868,NORMAL, Function START ID: 1 EPS_START 
1679850868,NORMAL, Function START ID: 9 OBC_START 
1679850868,NORMAL, Function START ID: 26 MISSION_MODE_LEOP 
1679850856,NORMAL, Function END ID: 12 ADCS_STOP 
1679850853,NORMAL, Function END ID: 25 MISSION_MODE_SAFE 
1679850852,NORMAL, Function END ID: 14 PAYLOAD_STOP 
1679850849,NORMAL, Function START ID: 12 ADCS_STOP 
1679850849,NORMAL, Function START ID: 14 PAYLOAD_STOP 
1679850849,NORMAL, Function END ID: 8 SOLARPANEL_STOP 
1679850841,NORMAL, Function START ID: 8 SOLARPANEL_STOP 
1679850838,NORMAL, Function START ID: 3 RADIO_START 
1679850838,NORMAL, Function END ID: 9 OBC_START 
1679850838,NORMAL, Function END ID: 1 EPS_START 
1679850831,NORMAL, Function START ID: 1 EPS_START 
1679850831,NORMAL, Function START ID: 9 OBC_START 
1679850831,HIGH,evRadioTxNotAuthorizedOut packetId: 0xFB30 evRadioTxNotAuthorizedOut sequenceId: 0 
1679850831,NORMAL, Function START ID: 25 MISSION_MODE_SAFE 
1679850765,NORMAL, Function END ID: 22 MISSION_INIT 
1679850764,NORMAL, Function START ID: 22 MISSION_INIT 
1679850764,HIGH,evDeathReportOut packetId: 0xFB91 evDeathReportOut sequenceId: 0 evDeathReportOut rebootReason: 1 
1677161947,NORMAL, Function END ID: 22 MISSION_INIT 
1677161947,NORMAL, Function START ID: 22 MISSION_INIT 
1677161947,HIGH,evDeathReportOut packetId: 0xFB91 evDeathReportOut sequenceId: 0 evDeathReportOut rebootReason: 1 
1676987381,NORMAL, Function END ID: 22 MISSION_INIT 
1676987381,NORMAL, Function START ID: 22 MISSION_INIT 
1676987381,HIGH,evDeathReportOut packetId: 0xFB91 evDeathReportOut sequenceId: 0 evDeathReportOut rebootReason: 1 
1676398268,NORMAL, Function END ID: 1 EPS_START 
1676398261,NORMAL, Function START ID: 1 EPS_START 
1676388490,NORMAL, Function END ID: 22 MISSION_INIT 
1676388490,NORMAL, Function START ID: 22 MISSION_INIT 
1676388490,HIGH,evDeathReportOut packetId: 0xFB91 evDeathReportOut sequenceId: 0 evDeathReportOut rebootReason: 1 
1676388403,NORMAL, Function END ID: 22 MISSION_INIT 
1676388403,NORMAL, Function START ID: 22 MISSION_INIT 
1676388403,HIGH,evDeathReportOut packetId: 0xFB91 evDeathReportOut sequenceId: 0 evDeathReportOut rebootReason: 1 
1675785181,NORMAL, Function END ID: 5 ANTENNA_START 
1675785174,NORMAL, Function START ID: 5 ANTENNA_START 
1675784302,NORMAL, Function END ID: 1 EPS_START 
1675784295,NORMAL, Function START ID: 1 EPS_START 
1675784049,NORMAL, Function END ID: 22 MISSION_INIT 
1675784049,NORMAL, Function START ID: 22 MISSION_INIT 
1675784049,HIGH,evDeathReportOut packetId: 0xFB91 evDeathReportOut sequenceId: 0 evDeathReportOut rebootReason: 1 
1675487081,NORMAL, Function END ID: 15 PARAMETERS_SAVE 
1675487062,NORMAL, Function START ID: 15 PARAMETERS_SAVE 
1675486978,NORMAL, Function END ID: 22 MISSION_INIT 
1675486978,NORMAL, Function START ID: 22 MISSION_INIT 
1675486978,HIGH,evDeathReportOut packetId: 0xFB91 evDeathReportOut sequenceId: 0 evDeathReportOut rebootReason: 1 
