timeStamp,latitude,longitude,altitude
1682315820,-66.030067,86.635811,522.488342
1682315640,-76.333237,102.624367,522.946472
1682315460,-82.620941,159.576523,521.862610
1682315280,-76.678062,-141.182281,519.195129
1682315100,-66.404510,-124.531731,515.123840
1682314920,-55.445332,-117.376404,510.032715
1682314740,-44.266178,-113.040855,504.463226
1682314560,-32.976242,-109.860069,499.042236
1682314380,-21.617771,-107.232658,494.394562
1682314200,-10.216255,-104.878944,491.052399
1682314020,1.206970,-102.635872,489.376221
1682313840,12.631247,-100.379784,489.501526
1682313660,24.035679,-97.982544,491.321198
1682313480,35.397957,-95.264137,494.506866
1682313300,46.689770,-91.899338,498.564941
1682313120,57.859985,-87.151611,502.917023
1682312940,68.763542,-78.834091,506.989746
1682312760,78.693916,-57.189880,510.299713
1682312580,82.123314,13.864976,512.520935
1682312400,74.094711,56.938774,513.525818
1682312220,63.526073,69.641479,513.395081
1682312040,52.494125,75.747337,512.396118
1682311860,41.298618,79.677956,510.933228
1682311680,30.020113,82.668083,509.475647
1682311500,18.692820,85.197495,508.475464
1682311320,7.338609,87.502518,508.286926
1682311140,-4.023937,89.729561,509.101624
1682310960,-15.377003,91.998009,510.910980
1682310780,-26.702642,94.441246,513.502930
1682310600,-37.981033,97.258591,516.494080
1682310420,-49.184258,100.828285,519.390747
1682310240,-60.253925,106.050758,521.668213
1682310060,-71.000908,115.792603,522.855286
1682309880,-80.357254,144.091217,522.610107
1682309700,-81.039818,-139.979980,520.777649
1682309520,-72.021004,-107.552437,517.420044
1682309340,-61.308735,-96.974380,512.816650
1682309160,-50.223511,-91.488197,507.432678
1682308980,-38.984947,-87.806244,501.859528
1682308800,-27.659126,-84.932510,496.734314
1682308620,-16.277708,-82.458527,492.649017
1682308440,-4.863475,-80.173393,490.063538
1682308260,6.562753,-77.938980,489.237305
1682308080,17.980282,-75.634506,490.191559
1682307900,29.367809,-73.114861,492.710205
1682307720,40.701202,-70.149185,496.378479
1682307540,51.945034,-66.274033,500.651886
1682307360,63.020706,-60.310822,504.943024
1682307180,73.647011,-48.113422,508.710938
1682307000,81.936852,-7.507801,511.538971
1682306820,79.065689,65.134865,513.190857
1682306640,69.243759,87.985046,513.637512
1682306460,58.386478,96.567123,513.051758
1682306280,47.261749,101.404137,511.773102
1682306100,36.021603,104.806580,510.246307
1682305920,24.717142,107.541473,508.943359
1682305740,13.374852,109.943817,508.280182
1682305560,2.014508,112.196747,508.541718
1682305380,-9.345818,114.428406,509.828827
1682305200,-20.688353,116.759697,512.036011
1682305020,-31.994637,119.346436,514.865234
1682304840,-43.242348,122.450409,517.872742
1682304660,-54.394089,126.622742,520.539856
1682304480,-65.354141,133.346390,522.356812
1682304300,-75.731636,148.307495,522.904602
1682304120,-82.567085,-158.670502,521.923218
1682303940,-77.262291,-95.729057,519.357361
1682303760,-67.077888,-77.868408,515.372803
1682303580,-56.140312,-70.416695,510.341675
1682303400,-44.970379,-65.972572,504.796967
1682303220,-33.685783,-62.742428,499.362213
1682303040,-22.330776,-60.090431,494.664490
1682302860,-10.931361,-57.725067,491.243622
1682302680,0.491010,-55.478874,489.472168
1682302500,11.915677,-53.227139,489.499969
1682302320,23.321783,-50.843208,491.234283
1682302140,34.687191,-48.152275,494.358704
1682301960,45.984261,-44.843029,498.387482
1682301780,57.164356,-40.220734,502.744568
1682301600,68.093536,-32.263641,506.853424
1682301420,78.145096,-12.217049,510.222778
1682301240,82.343987,56.088764,512.515198
1682301060,74.722153,102.918625,513.590149
1682300880,64.210197,116.417786,513.515808
1682300700,53.194309,122.744843,512.549438
1682300520,42.006054,126.762512,511.088959
1682300340,30.731695,129.793671,509.602448
1682300160,19.406868,132.343643,508.546051
1682299980,8.053840,134.657928,508.283020
1682299800,-3.308712,136.886292,509.017242
1682299620,-14.662950,139.148560,510.753784
1682299440,-25.990961,141.575989,513.293396
1682299260,-37.273144,144.361465,516.262451
1682299080,-48.482449,147.865967,519.172363
1682298900,-59.563835,152.935822,521.498230
1682298720,-70.344063,162.206787,522.763245
1682298540,-79.885284,-171.768143,522.615601
1682298360,-81.423088,-96.669693,520.887146
1682298180,-72.667030,-61.298267,517.626038
1682298000,-61.996716,-50.131664,513.098389
1682297820,-50.925278,-44.466602,507.758698
1682297640,-39.693691,-40.710808,502.192322
1682297460,-28.372229,-37.801537,497.035553
1682297280,-16.993612,-35.309853,492.885315
1682297100,-5.580895,-33.017342,490.211426
1682296920,5.845060,-30.783289,489.286743
1682296740,17.263575,-28.487028,490.147247
1682296560,28.653429,-25.986389,492.590393
1682296380,39.990814,-23.058771,496.211609
1682296200,51.241550,-19.263519,500.471832
1682296020,62.331886,-13.498343,504.783356
1682295840,73.006477,-1.981260,508.599640
1682295660,81.623085,35.241158,511.494354
1682295480,79.581413,109.705055,513.218811
1682295300,69.909859,134.479263,513.730774
1682295120,59.081715,143.474808,513.191528
1682294940,47.967625,148.450684,511.931885
1682294760,36.732979,151.913559,510.392670
1682294580,25.431799,154.678207,509.047119
1682294400,14.091355,157.095169,508.317688
1682294220,2.731633,159.353455,508.500122
1682294040,-8.629245,161.583008,509.708435
1682293860,-19.973507,163.904037,511.850800
1682293680,-31.282784,166.468597,514.640808
1682293500,-42.535183,169.528336,517.642456
1682293320,-53.694935,173.605606,520.339722
1682293140,-64.672966,-179.918457,522.220032
1682292960,-75.117554,-165.891083,522.856567
1682292780,-82.446144,-116.817131,521.977661
1682292600,-77.836006,-50.453472,519.514282
1682292420,-67.752190,-31.241594,515.618225
1682292240,-56.837883,-23.469112,510.649261
1682292060,-45.677612,-18.909689,505.131714
1682291880,-34.398544,-15.627625,499.685425
1682291700,-23.047112,-12.949827,494.939423
1682291520,-11.649889,-10.572115,491.440918
1682291340,-0.228452,-8.322304,489.574249
1682291160,11.196529,-6.074453,489.503723
1682290980,22.604237,-3.703232,491.151062
1682290800,33.972687,-1.038736,494.212189
1682290620,45.274864,2.217211,498.209381
1682290440,56.464439,6.720410,502.569366
1682290260,67.417534,14.342161,506.712860
1682290080,77.576843,32.947533,510.140747
1682289900,82.503922,98.032333,512.504456
1682289720,75.344818,148.786163,513.650391
1682289540,64.895973,163.167694,513.634033
1682289360,53.897270,169.732727,512.702209
1682289180,42.716614,173.842560,511.246277
1682289000,31.446552,176.916794,509.732697
1682288820,20.124296,179.488358,508.621460
1682288640,8.772533,-178.187454,508.284454
1682288460,-2.589949,-175.957306,508.937805
1682288280,-13.945289,-173.700729,510.600311
1682288100,-25.275602,-171.288467,513.085754
1682287920,-36.561485,-168.533646,516.030457
1682287740,-47.776707,-165.091599,518.951416
1682287560,-58.869289,-160.166183,521.323792
1682287380,-69.680283,-151.330704,522.665405
1682287200,-79.384247,-127.359085,522.614746
1682287020,-81.764381,-53.724781,520.990845
1682286840,-73.310829,-15.123738,517.827515
1682286660,-62.686699,-3.309801,513.377441
1682286480,-51.629906,2.546885,508.084412
